Time,Price,Size,TradeVolume
09:30:00,99.70,-261,0
09:30:00,99.71,-253,0
09:30:00,99.72,-258,0
09:30:00,99.73,-234,0
09:30:00,99.74,-256,0
09:30:00,99.75,-234,0
09:30:00,99.76,-225,0
09:30:00,99.77,-218,0
09:30:00,99.78,-253,0
09:30:00,99.79,-233,0
09:30:00,99.80,-249,0
09:30:00,99.81,-249,0
09:30:00,99.82,-252,0
09:30:00,99.83,-208,0
09:30:00,99.84,-256,0
09:30:00,99.85,-957,0
09:30:00,99.86,-195,0
09:30:00,99.87,-211,0
09:30:00,99.88,-185,0
09:30:00,99.89,-225,0
09:30:00,99.90,-193,0
09:30:00,99.91,-176,0
09:30:00,99.92,-180,0
09:30:00,99.93,-177,0
09:30:00,99.94,-191,0
09:30:00,99.95,-131,0
09:30:00,99.96,-97,0
09:30:00,99.97,-82,0
09:30:00,99.98,-80,0
09:30:00,99.99,-52,87
09:30:00,100.00,0,0
09:30:00,100.01,24,0
09:30:00,100.02,61,0
09:30:00,100.03,125,0
09:30:00,100.04,159,0
09:30:00,100.05,99,0
09:30:00,100.06,148,0
09:30:00,100.07,147,0
09:30:00,100.08,165,0
09:30:00,100.09,158,0
09:30:00,100.10,184,0
09:30:00,100.11,191,0
09:30:00,100.12,195,0
09:30:00,100.13,230,0
09:30:00,100.14,222,0
09:30:00,100.15,227,0
09:30:00,100.16,972,0
09:30:00,100.17,239,0
09:30:00,100.18,212,0
09:30:00,100.19,233,0
09:30:00,100.20,232,0
09:30:00,100.21,230,0
09:30:00,100.22,206,0
09:30:00,100.23,247,0
09:30:00,100.24,261,0
09:30:00,100.25,277,0
09:30:00,100.26,235,0
09:30:00,100.27,225,0
09:30:00,100.28,244,0
09:30:00,100.29,247,0
09:30:00,100.30,250,0
09:30:02,99.70,-221,0
09:30:02,99.71,-258,0
09:30:02,99.72,-262,0
09:30:02,99.73,-245,0
09:30:02,99.74,-264,0
09:30:02,99.75,-236,0
09:30:02,99.76,-212,0
09:30:02,99.77,-219,0
09:30:02,99.78,-209,0
09:30:02,99.79,-216,0
09:30:02,99.80,-262,0
09:30:02,99.81,-223,0
09:30:02,99.82,-255,0
09:30:02,99.83,-224,0
09:30:02,99.84,-230,0
09:30:02,99.85,-898,0
09:30:02,99.86,-218,0
09:30:02,99.87,-200,0
09:30:02,99.88,-212,0
09:30:02,99.89,-180,0
09:30:02,99.90,-210,0
09:30:02,99.91,-191,0
09:30:02,99.92,-187,0
09:30:02,99.93,-175,0
09:30:02,99.94,-152,0
09:30:02,99.95,-120,0
09:30:02,99.96,-108,0
09:30:02,99.97,-108,0
09:30:02,99.98,-45,0
09:30:02,99.99,-25,0
09:30:02,100.00,0,0
09:30:02,100.01,58,0
09:30:02,100.02,90,0
09:30:02,100.03,95,0
09:30:02,100.04,138,0
09:30:02,100.05,126,0
09:30:02,100.06,156,0
09:30:02,100.07,162,0
09:30:02,100.08,167,0
09:30:02,100.09,172,0
09:30:02,100.10,184,0
09:30:02,100.11,192,0
09:30:02,100.12,168,0
09:30:02,100.13,232,0
09:30:02,100.14,206,0
09:30:02,100.15,205,0
09:30:02,100.16,1024,0
09:30:02,100.17,239,0
09:30:02,100.18,233,0
09:30:02,100.19,223,0
